org,org_type,ein,name,exempt_type,match_confidence,filer_name,filer_name_norm,method,verified,details
US Chamber of Commerce,6.0,880944225.0,Us Zhongshan General Chamber Of Commerce,3.0,95.4533,US ZHONGSHAN GENERAL CHAMBER OF,us zhongshan general chamber,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,131571395.0,Us Austrian Chamber Of Commerce Inc,6.0,95.4533,US AUSTRIAN CHAMBER OF COMMERCE INC,us austrian chamber commerce,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,200848187.0,Indian-us Chamber Of Commerce Incorporated,6.0,95.4533,,,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,465439222.0,Midwest Us China Chamber Of Commerce,6.0,95.4533,,,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,201158897.0,National Us India Chamber Of Commerce,6.0,95.4533,,,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,364690040.0,Us Chinese General Chamber Of Commerce,6.0,95.4533,US CHINESE GENERAL CHAMBER OF COMMERCE,us chinese general chamber commerce,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,883942701.0,Us Chuan-yu Chamber Of Commerce,3.0,95.4533,,,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,922852447.0,Us Fujian General Chamber Of Commerce,3.0,95.4533,,,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,264243557.0,Us Latino American Chamber Of Commerce,6.0,95.4533,,,auto,0.0,Not included in top 3 results.
US Chamber of Commerce,6.0,813069220.0,Us Shanxi General Chamber Of Commerce,3.0,95.4533,,,auto,0.0,Not included in top 3 results.
We Vote We Win,4.0,471746234.0,We Vote We Win Inc,4.0,204.05771,We Vote We Win,we vote we win,manual,,
Opportunity for All Action Fund,4.0,872367015.0,Opportunity For All Action Fund,4.0,153.97147,OPPORTUNITY FOR ALL ACTION FUND,opportunity all action fund,manual,,
Humane Society Legislative Fund,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Momsrising Together,4.0,204448446.0,Momsrising Together,4.0,160.98486,MOMSRISING TOGETHER,momsrising together,manual,,
Climate Reality Action Fund,4.0,680666110.0,Climate Reality Action Fund,4.0,170.5812,CLIMATE REALITY ACTION FUND,climate reality action fund,manual,,
New Georgia Project Action Fund,4.0,820934131.0,New Georgia Project Action Fund,4.0,143.78613,NEW GEORGIA PROJECT ACTION FUND,new georgia project action fund,manual,,
Together Moving Mountains New Mexico,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Third Way,4.0,201734070.0,Third Way,4.0,112.191895,THIRD WAY,third way,manual,,
Third Way,4.0,260535276.0,Third Way Institute,3.0,100.60556,THIRD WAY INSTITUTE,third way institute,manual,,
Third Way,4.0,852018284.0,Third Way Community,3.0,100.60556,THIRD WAY COMMUNITY,third way community,manual,,
Third Way,4.0,840599572.0,Third Way Center Inc,3.0,91.19232,THIRD WAY CENTER INC,third way center,auto,0.0,Not included in top 3 results.
Third Way,4.0,521629221.0,The Third Way Foundation Inc,3.0,83.39241,The Third Way Foundation Inc,third way foundation,auto,0.0,Not included in top 3 results.
Third Way,4.0,923044074.0,Third Way Cultural Alliance Inc,3.0,83.39241,THIRD WAY CULTURAL ALLIANCE INC,third way cultural alliance,auto,0.0,Not included in top 3 results.
Third Way,4.0,992064982.0,Better Together - A Third Way,3.0,83.39241,,,auto,0.0,Not included in top 3 results.
Third Way,4.0,813083667.0,Americans For The Israeli Third Way Inc,3.0,71.21468,AMERICANS FOR THE ISRAELI THIRD WAYINC,americans israeli third wayinc,auto,0.0,Not included in top 3 results.
Third Way,4.0,820722519.0,Third Day Church Of Nevada Inc,3.0,23.189722,,,auto,0.0,Not included in top 3 results.
WorkMoney,4.0,850604101.0,Workmoney Inc,4.0,108.634544,WORKMONEY INC,workmoney,manual,,
WorkMoney,4.0,881168529.0,Workmoney Foundation Inc,3.0,97.417465,WORKMONEY FOUNDATION INC,workmoney foundation,manual,,
Power To The Polls Wisconsin,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Freedom's Future Fund,4.0,874598460.0,Freedom's Future Fund Inc,4.0,105.13736,FREEDOM'S FUTURE FUND INC,freedom s future fund,manual,,
Planned Parenthood/Wisconsin,4.0,390863391.0,Planned Parenthood Of Wisconsn Inc,3.0,137.25545,PLANNED PARENTHOOD OF WISCONSIN INC,planned parenthood wisconsin,manual,,
Planned Parenthood/Wisconsin,4.0,391678012.0,Planned Parenthood Advocates Of Wisconsin Inc,4.0,130.57047,PLANNED PARENTHOOD ADVOCATES OF,planned parenthood advocates,manual,,
Pennsylvania United,4.0,823674888.0,Pennsylvania United,4.0,81.657555,Pennsylvania United,pennsylvania united,manual,,
Pennsylvania United,4.0,231672348.0,United Way Of Pennsylvania,3.0,66.37143,UNITED WAY OF PENNSYLVANIA,united way pennsylvania,manual,,
Pennsylvania United,4.0,232999185.0,Pennsylvania United Medical Association,3.0,66.37143,PENNSYLVANIA UNITED MEDICAL,pennsylvania united medical,manual,,
Pennsylvania United,4.0,232375634.0,United Bowhunters Of Pennsylvania,4.0,66.37143,United Bowhunters of PA,united bowhunters pa,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,201828163.0,Pennsylvania United Cricket Association,3.0,66.37143,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,833740638.0,Pennsylvania United Chinese Coalition Inc,3.0,60.693882,Pennsylvania United Chinese Coalition Inc,pennsylvania united chinese coalition,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,231409712.0,United Cerebral Palsy Of Pennsylvania,3.0,60.693882,UNITED CEREBRAL PALSY OF PENNSYLVANIA,united cerebral palsy pennsylvania,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,251896304.0,Building United Of Southwestern Pennsylvania,3.0,60.693882,Building United of Southwestern PA,building united southwestern pa,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,231734981.0,Church Women United In Pennsylvania,3.0,60.693882,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,271142176.0,United Muslims Association Of Pennsylvania,3.0,60.693882,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,871538522.0,Caribbean United Organization Of Pennsylvania,3.0,60.693882,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,237156758.0,United Methodist Foundation Of Pennsylvania,3.0,60.693882,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,261982599.0,Unified Sportsmen Of Pennsylvania,4.0,57.62861,UNIFIED SPORTSMEN OF PENNSYLVANIA,unified sportsmen pennsylvania,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,651241811.0,United Way Of Southeastern Pennsylvania,3.0,56.61631,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,251043578.0,The United Way Of Southwestern Pennsylvania,3.0,55.912323,THE UNITED WAY OF SOUTHWESTERN,united way southwestern,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,240795389.0,United Neighborhood Centers Of Northeastern Pennsylvania,3.0,55.912323,UNITED NEIGHBORHOOD CENTERS OF,united neighborhood centers,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,205094597.0,United Cerebral Palsy Foundation Central Pennsylvania,3.0,55.912323,UNITED CEREBRAL PALSY FOUNDATION OF,united cerebral palsy foundation,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,730708546.0,Ok Pennsylvania Ave United Methodist Church,3.0,55.912323,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,231433882.0,United Cerebral Palsy Of Cental Pennsylvania Inc,3.0,51.829952,UNITED CEREBRAL PALSY OF,united cerebral palsy,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,236684378.0,United Way Endowment Fund Of Carlisle Pennsylvania,3.0,51.829952,UNITED WAY ENDOWMENT FUND,united way endowment fund,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,232698346.0,Eastern Pennsylvania-peninsula United Methodist Foundation Inc,3.0,51.829952,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,251391617.0,United Campus Ministry Board Of Shippensburg Pennsylvania,3.0,51.829952,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,251182985.0,United Ministry At The Pennsylvania State University,3.0,51.829952,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,842321964.0,Pennsylvanians United To Protect Children Inc,4.0,50.276268,,,auto,0.0,Not included in top 3 results.
Pennsylvania United,4.0,455173083.0,United Cerebral Palsy Service Management Of Central Pennsylvania,3.0,48.303715,UNITED CEREBRAL PALSY SERVICE,united cerebral palsy service,auto,0.0,Not included in top 3 results.
NRA Institute for Legislative Action,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Communities for a New California,4.0,272348747.0,Communities For A New California,4.0,135.00038,Communities for A New California,communities new california,manual,,
Communities for a New California,4.0,451636468.0,Communities For A New California Education Fund,3.0,115.28415,Communities For A New California Education Fund,communities new california education fund,manual,,
New Democracy,4.0,820957528.0,New Democracy,4.0,96.492004,NEW DEMOCRACY,new democracy,manual,,
New Democracy,4.0,461982375.0,New Nigerian Democracy,3.0,86.52676,,,manual,,
New Democracy,4.0,330478428.0,New Vietnamese Democracy,3.0,86.52676,THE NEW VIETNAMESE DEMOCRACY,new vietnamese democracy,manual,,
New Democracy,4.0,844003182.0,New Hampshire Democracy Fund,3.0,78.43062,New Hampshire Democracy Fund,new hampshire democracy fund,auto,0.0,Not included in top 3 results.
New Democracy,4.0,874049576.0,Democracy News Foundation,3.0,77.07361,THE DEMOCRACY NEWS FOUNDATION,democracy news foundation,auto,0.0,Not included in top 3 results.
New Democracy,4.0,822983459.0,Democracy Watch News,3.0,77.07361,,,auto,0.0,Not included in top 3 results.
New Democracy,4.0,61581474.0,Democracy Prep New York Charter Schools,3.0,66.072174,,,auto,0.0,Not included in top 3 results.
New Democracy,4.0,473450386.0,Sierra Leone Foundation For New Democracy,3.0,66.072174,,,auto,0.0,Not included in top 3 results.
New Democracy,4.0,920963305.0,New Jersey Coalition For Democracy Reform Inc,3.0,61.24836,,,auto,0.0,Not included in top 3 results.
New Democracy,4.0,813760806.0,New Democrats Public Policy Coalition,4.0,61.00734,California New Deal Democrats,california new deal democrats,auto,0.0,Not included in top 3 results.
New Democracy,4.0,811590001.0,Kevin Charles Peterson,3.0,22.909721,,,auto,0.0,Not included in top 3 results.
Living United for Change in Arizona,4.0,271398645.0,Living United For Change In Arizona,4.0,157.93542,LIVING UNITED FOR CHANGE IN ARIZONA,living united change in arizona,manual,,
Be Counted,4.0,471645393.0,Be Counted Inc,4.0,74.48624,BE COUNTED INC,be counted,manual,,
Be Counted,4.0,844268454.0,Be Counted Foundation,3.0,74.48624,,,manual,,
Be Counted,4.0,912146692.0,Be Counted For Inc,3.0,67.51419,BE COUNTED FOR INC,be counted,manual,,
Be Counted,4.0,993767686.0,Be Well Waupaca County,3.0,59.80603,,,auto,0.0,Not included in top 3 results.
Be Counted,4.0,880557046.0,Stand Up And Be Counted Inc,3.0,56.872635,,,auto,0.0,Not included in top 3 results.
Be Counted,4.0,263004497.0,American Federation Of State County & Municipal Employees,5.0,10.352213,,,auto,0.0,Not included in top 3 results.
Make the Road Action,4.0,271408443.0,Make The Road Action Fund Inc,4.0,122.787674,MAKE THE ROAD ACTION INC,make road action,manual,,
National Assn of Convenience Stores,6.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Citizens for Responsible Energy Solutions,4.0,460558330.0,Citizens For Responsible Energy Solutions Inc,4.0,169.71233,CITIZENS FOR RESPONSIBLE ENERGY,citizens responsible energy,manual,,
Citizens for Responsible Energy Solutions,4.0,472999520.0,Citizens For Responsible Energy Solutions Forum,3.0,162.0202,CITIZENS FOR RESPONSIBLE ENERGY,citizens responsible energy,manual,,
American Academy of Ophthalmology,6.0,411336784.0,American Academy Of Ophthalmology Inc,6.0,119.210915,AMERICAN ACADEMY OF OPHTHALMOLOGY INC,american academy ophthalmology,manual,,
American Academy of Ophthalmology,6.0,942682387.0,Foundation Of The American Academy Of Ophthalmology,3.0,105.666374,THE FOUNDATION OF THE AMERICAN ACADEMY,foundation american academy,manual,,
American Academy of Ophthalmology,6.0,411865087.0,The Foundation Of The American Academy Of Ophthalmology,3.0,98.69627,AMERICAN ACADEMY OF OPHTHALMOLOGY,american academy ophthalmology,manual,,
The IMPACT Fund,,810871670.0,After The Impact Fund Inc,3.0,76.882034,AFTER THE IMPACT FUND INC,after impact fund,manual,,
The IMPACT Fund,,581697505.0,The Raleigh Jaycees Community Impact Fund Inc,3.0,65.64791,,,manual,,
The IMPACT Fund,,823624111.0,Fund For Social Impact And Civic Engagement The Historic Camp,3.0,53.849895,,,manual,,
The IMPACT Fund,,542099272.0,Nica Impact,3.0,26.606236,Nica Impact,nica impact,auto,0.0,Not included in top 3 results.
Feminist Majority,4.0,541426441.0,Feminist Majority,4.0,168.67758,FEMINIST MAJORITY,feminist majority,manual,,
Feminist Majority,4.0,541426440.0,Feminist Majority Foundation,3.0,151.26035,FEMINIST MAJORITY FOUNDATION,feminist majority foundation,manual,,
Governing Majority Education Fund,4.0,850549304.0,Governing Majority Education Fund,4.0,191.14018,GOVERNING MAJORITY EDUCATION FUND,governing majority education fund,manual,,
J Street,4.0,261507828.0,J Street,4.0,93.920334,J STREET,j street,manual,,
J Street,4.0,204561025.0,J Street Cup Inc,3.0,76.31556,J STREET CUP,j street cup,manual,,
J Street,4.0,202777557.0,J Street Education Fund Inc,3.0,69.77959,J STREET EDUCATION FUND INC,j street education fund,manual,,
J Street,4.0,141916129.0,Main Street Burlington N J,3.0,69.77959,MAIN STREET BURLINGTON NJ,main street burlington nj,auto,0.0,Not included in top 3 results.
J Street,4.0,260682440.0,Susan J Streeter Scholarship Fund,3.0,57.829887,,,auto,0.0,Not included in top 3 results.
J Street,4.0,455441135.0,Memphis Street Academy Charter School At J P Jones,3.0,51.98181,Memphis Street Academy Charter School,memphis street academy charter school,auto,0.0,Not included in top 3 results.
J Street,4.0,946074476.0,Alfred J Strei Trust U W,3.0,51.06704,ALFRED J STREI TRUST,alfred j strei trust,auto,0.0,Not included in top 3 results.
J Street,4.0,415359231.0,West Street J T Barber High School Alumni Association Inc,3.0,48.86697,,,auto,0.0,Not included in top 3 results.
J Street,4.0,223526089.0,J William And Kathleen M Strott Family Foundation Inc,3.0,43.078903,STROTT FAMILY FDN-DIMA,strott family fdn dima,auto,0.0,Not included in top 3 results.
J Street,4.0,223550693.0,Sunrise Field And Stream Club Of Metuchen N J,7.0,43.078903,,,auto,0.0,Not included in top 3 results.
J Street,4.0,610734695.0,Fifth Street Highrise Inc,3.0,19.06405,FIFTH STREET HIGHRISE INC,fifth street highrise,auto,0.0,Not included in top 3 results.
J Street,4.0,454895207.0,1026 East Center Street Llc,3.0,17.899277,1026 EAST CENTER STREET LLC,1026 east center street,auto,0.0,Not included in top 3 results.
J Street,4.0,137425331.0,King Street Charitable Tr,3.0,16.868637,The King Street Charitable Trust,king street charitable trust,auto,0.0,Not included in top 3 results.
J Street,4.0,813646338.0,Bright Beginnings On Market Street Llc,3.0,16.868637,BRIGHT BEGINNINGS ON MARKET ST LLC,bright beginnings on market st,auto,0.0,Not included in top 3 results.
J Street,4.0,481234071.0,J I T A Inc,3.0,15.126656,,,auto,0.0,Not included in top 3 results.
Republican Hindu Coalition,4.0,475545490.0,Republican Hindu Coalition,4.0,160.23201,REPUBLICAN HINDU COALITION,republican hindu coalition,manual,,
CARE Action Now,4.0,261728410.0,Care Action Now Incorporated,4.0,114.86415,CARE ACTION NOW INCORPORATED,care action now,manual,,
Cafe Accion,4.0,852340038.0,Cafe Accion,4.0,141.59457,Cafe Accion,cafe accion,manual,,
Cafe Accion,4.0,273310051.0,Nm Comunidades En Accion Y De Fe,3.0,27.464756,NM Comunidades En Accion Y De Fe,nm comunidades en accion y de fe,manual,,
Greenpeace,4.0,521541501.0,Greenpeace Inc,4.0,89.351456,GREENPEACE INC,greenpeace,manual,,
Greenpeace,4.0,990175939.0,Greenpeace Foundation,3.0,89.351456,GREENPEACE FOUNDATION,greenpeace foundation,manual,,
Greenpeace,4.0,874205390.0,Greenteach,3.0,80.78969,,,manual,,
Greenpeace,4.0,842167884.0,Greenpeach Foundation,3.0,80.416306,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,953313195.0,Greenpeace Fund Inc,3.0,80.12546,GREENPEACE FUND INC,greenpeace fund,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,203398696.0,Greenspace Dallas,3.0,71.48116,Greenspace Dallas,greenspace dallas,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,237419940.0,Greenspace Inc,3.0,71.48116,GREENSPACE INC,greenspace,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,851747011.0,Greenpeas Inc,3.0,69.495575,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,522141752.0,Greenspace Ncr Inc,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,993807259.0,Coastal Greenspace Guardians,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,883829374.0,Concord Greenspace Coalition,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,311374344.0,Northside Greenspace Incorporated,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,882432768.0,Mason Brook Greenspace,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,822980233.0,Memphis Greenspace Inc,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,392093692.0,Public Greenspace Initiative,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,932958062.0,Temple Greenspace Project,3.0,64.10037,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,43021928.0,Brookline Greenspace Alliance Inc,3.0,58.10369,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,844605021.0,Colonial Beach Greenspace Inc,3.0,58.10369,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,993693759.0,Greenspace Water Alliance Inc,3.0,58.10369,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,883259575.0,Hidden Hills Greenspace Inc,3.0,58.10369,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,260723484.0,Niagara Greenspace Consortium Inc,3.0,58.10369,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,203566361.0,Manlius Greenspace Coalition,3.0,56.940975,,,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,760685448.0,Willow Waterhole Greenspace Conservancy Inc,3.0,53.134632,Willow Waterhole Greenspace Conservancy,willow waterhole greenspace conservancy,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,770219622.0,Greenspace The Cambria Land Trust,3.0,53.134632,GREENSPACE - THE CAMBRIA LAND TRUST,greenspace cambria land trust,auto,0.0,Not included in top 3 results.
Greenpeace,4.0,412890217.0,Francisville Garden And Greenspace Collective,3.0,53.134632,,,auto,0.0,Not included in top 3 results.
Pennsylvania Stands Up,4.0,832880678.0,Pennsylvania Stands Up Inc,4.0,132.76868,PENNSYLVANIA STANDS UP INC,pennsylvania stands up,manual,,
Pennsylvania Stands Up,4.0,854055323.0,Pennsylvania Stands Up Institute,3.0,132.76868,PENNSYLVANIA STANDS UP INSTITUTE,pennsylvania stands up institute,manual,,
Turning Point Action,4.0,464331510.0,Turning Point Action Inc,4.0,133.27144,TURNING POINT ACTION INC,turning point action,manual,,
Fuse Washington,4.0,260573960.0,Fuse Washington,4.0,131.80774,Fuse Washington,fuse washington,manual,,
The People's Lobby,4.0,461465650.0,The People's Lobby,4.0,137.99554,THE PEOPLE'S LOBBY,people s lobby,manual,,
The People's Lobby,4.0,452550750.0,The Peoples Lobby Education Institute,3.0,109.33966,THE PEOPLE'S LOBBY EDUCATION INSTITUTE,people s lobby education institute,manual,,
Friends of the Earth Action,4.0,132644641.0,Friends Of The Earth-action-inc,4.0,117.990295,FRIENDS OF THE EARTH (ACTION) INC,friends earth action,manual,,
NARAL Pro-Choice America,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Students for Life Action,4.0,833084374.0,Students For Life Action Inc,4.0,113.8238,Students for Life Action Inc,students life action,manual,,
Citizen Action of Wisconsin,4.0,391424314.0,Citizen Action Of Wisconsin Inc,4.0,115.040436,CITIZEN ACTION OF WISCONSIN INC,citizen action wisconsin,manual,,
Citizen Action of Wisconsin,4.0,391520619.0,Citizen Action Of Wisconsin Education Fund Inc,3.0,98.24063,CITIZEN ACTION OF WISCONSIN EDUCATION,citizen action wisconsin education,manual,,
Somos Accion,4.0,831487234.0,Somos Accion,4.0,153.37546,SOMOS ACCION,somos accion,manual,,
Story Network Foundation,4.0,842907396.0,Story Network Foundation,4.0,108.80661,Story Network Foundation,story network foundation,manual,,
Citizen Action of New York,4.0,112644562.0,Citizen Action Of New York Inc,4.0,124.30945,CITIZEN ACTION OF NEW YORK INC,citizen action new york,manual,,
Emerging Voters Inc,4.0,883084482.0,Emerging Voters Inc,4.0,127.42822,EMERGING VOTERS INC,emerging voters,manual,,
Dolores Huerta Action Fund,4.0,462478028.0,Dolores Huerta Action Fund,4.0,203.38507,Dolores Huerta Action Fund,dolores huerta action fund,manual,,
Poder North Carolina Action,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Charter Schools Action Fund,4.0,472045681.0,Charter Schools Action Fund,4.0,115.91031,CHARTER SCHOOLS ACTION FUND,charter schools action fund,manual,,
Charter Schools Action Fund,4.0,851317117.0,Nj Public Charter Schools Action Fund Inc,4.0,90.475006,NJ PUBLIC CHARTER SCHOOLS ACTION FUND,nj public charter schools action fund,manual,,
People For The American Way,4.0,521366721.0,People For The American Way,4.0,127.17383,PEOPLE FOR THE AMERICAN WAY,people american way,manual,,
People For The American Way,4.0,133065716.0,People For The American Way Foundation,3.0,117.15637,PEOPLE FOR THE AMERICAN WAY FOUNDATION,people american way foundation,manual,,
Center For Racial & Gender Equity,4.0,851607584.0,Center For Racial Equity & Justice,3.0,84.285706,Center for Racial Equity & Justice,center racial equity justice,manual,,
Center For Racial & Gender Equity,4.0,383377607.0,Bridge Center For Racial Harmony,3.0,84.285706,,,manual,,
Center For Racial & Gender Equity,4.0,851474920.0,Center For Racial Health Equity,3.0,84.285706,,,manual,,
Center For Racial & Gender Equity,4.0,371309402.0,The Center For Racial Harmony,3.0,84.285706,,,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,454461270.0,Workers Center For Racial Justice Nfp,3.0,77.641594,Workers Center For Racial Just,workers center racial just,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,474634727.0,Center For Racial And Gender Equity,4.0,77.641594,,,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,932182446.0,Absalom Jones Center For Racial Healing,3.0,77.641594,,,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,842100138.0,Center For Racial Equity In Education,3.0,75.76438,CENTER FOR RACIAL EQUITY IN EDUCATION,center racial equity in education,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,454461853.0,Center For Racial And Gender Equity Nfp,4.0,71.969574,Center For Racial and Gender E,center racial gender e,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,331167415.0,New Orleans Workers Center For Racial Justice,3.0,71.969574,New Orleans Workers Ctr For Racial Justice,new orleans workers ctr racial justice,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,853202930.0,The Miami Center For Racial Justice Inc,3.0,71.969574,THE MIAMI CENTER FOR RACIAL JUSTICE INC,miami center racial justice,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,262671377.0,Center For Racial Justice In Education Inc,3.0,71.969574,CENTER FOR RACIAL JUSTICE IN EDUCATION,center racial justice in education,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,381897137.0,Inter-faith Center For Racial Justice Inc,3.0,71.969574,INTER-FAITH CENTER FOR RACIAL JUSTICE INC,inter faith center racial justice,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,854363239.0,Lace On Race Center For Racial Equity,3.0,67.63502,Lace on Race Center for Racial Equity,lace on race center racial equity,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,861314913.0,Christlike Agro-tourism For Racial Equality Wellness Center &services,3.0,62.796738,,,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,920715904.0,Athens Clarke County Center For Racial Justice And Black Futures I,3.0,55.699295,ATHENS CLARKE COUNTY CENTER FOR RACIAL,athens clarke county center racial,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,393845105.0,Center For Understanding Slavery An D Racism Inc,3.0,55.288383,,,auto,0.0,Not included in top 3 results.
Center For Racial & Gender Equity,4.0,760314445.0,Center For The Healing Of Racism Aka Institute For The Healing Of,3.0,51.040154,Center for the Healing of Racism,center healing racism,auto,0.0,Not included in top 3 results.
Texas Justice Fund,4.0,262818537.0,Texas Justice Fund,4.0,108.92461,TEXAS JUSTICE FUND,texas justice fund,manual,,
Texas Justice Fund,4.0,611792554.0,Texas Justice And Education Fund,3.0,90.27318,TEXAS JUSTICE AND EDUCATION FUND,texas justice education fund,manual,,
Commonwealth Communications,4.0,844535961.0,Commonwealth Communications,4.0,129.45724,COMMONWEALTH COMMUNICATIONS,commonwealth communications,manual,,
Commonwealth Communications,4.0,911799610.0,Communication Workers Of America,5.0,22.800762,,,manual,,
Big Tent Project Fund,4.0,844700775.0,Big Tent Project Fund,4.0,152.25172,BIG TENT PROJECT FUND,big tent project fund,manual,,
Majority Forward,4.0,833690373.0,Majority Forward,4.0,137.36246,MAJORITY FORWARD,majority forward,manual,,
Majority Forward,4.0,474368320.0,Majority Forward,4.0,137.36246,MAJORITY FORWARD,majority forward,manual,,
Majority Forward,4.0,834185105.0,House Majority Forward,4.0,123.17875,HOUSE MAJORITY FORWARD,house majority forward,manual,,
Majority Forward,4.0,334299505.0,Majority Forward Foundation Inc,4.0,111.65496,,,auto,0.0,Not included in top 3 results.
Demand Justice,4.0,863689961.0,Demand Justice,4.0,135.30963,DEMAND JUSTICE,demand justice,manual,,
Demand Justice,4.0,863690047.0,Demand Justice Initiative,3.0,121.33311,DEMAND JUSTICE INITIATIVE,demand justice initiative,manual,,
Demand Justice,4.0,852032397.0,Justice On Demand Inc,3.0,109.97845,,,manual,,
Demand Justice,4.0,332265271.0,Innocent Demand Justice Now,3.0,109.97845,,,auto,0.0,Not included in top 3 results.
Demand Justice,4.0,883565170.0,Justin Demary Foundation For Impacting Athletics,3.0,61.76445,,,auto,0.0,Not included in top 3 results.
Piedmont Rising,4.0,842378026.0,Piedmont Rising Inc,4.0,108.61541,Piedmont Rising Inc,piedmont rising,manual,,
Take Back Control,4.0,874621398.0,Take Back Control Inc,3.0,150.60887,,,manual,,
Black Youth Project 100,4.0,474435527.0,Black Youth Project 100 Nfp,4.0,138.69107,Black Youth Project 100 NFP,black youth project 100 nfp,manual,,
Advancing Arizona,4.0,263630675.0,Arizona Businesses Advancing Sustainability Inc,6.0,88.72538,,,manual,,
Family Friendly Action Fund,4.0,,,,,,,auto,0.0,Not found in ProPublica's NonProfit Explorer search method.
Rocky Mountain Values,4.0,841860320.0,Rocky Mountain Values,4.0,116.68302,Rocky Mountain Values,rocky mountain values,manual,,
Rocky Mountain Values,4.0,993857184.0,Tennessee Valley Rocky Mountain Horse,3.0,87.63997,,,manual,,
Rocky Mountain Values,4.0,412364881.0,Ohio Valley Rocky Mountain Horse Cl Ub,3.0,74.82869,,,manual,,
